x,y,z,f1,n_pix,concentration,R_circ,angle_3d_deg,angle_inplane_deg,dyad_inplane_deg,psoct_x,psoct_y,psoct_z,dyad_x,dyad_y,dyad_z
164,175,67,0.6546202943718833,94,0.9360464079344952,0.9378803875573666,4.43893382701049,2.553461006760091,84.5657560589607,-0.8949768326223929,-0.04228120448070416,0.4441044571008607,-0.9118781,-0.10188316,0.3976156
162,193,52,0.621658873831802,96,0.5845634740039658,0.6334888425922431,80.58229549900702,61.085088549798556,10.944344419062228,-0.4599708360231444,0.15056553959578386,-0.8750753386391368,-0.16523866,0.983827,0.06914216
177,164,65,0.628957743205402,88,0.9804210339403798,0.973980372485151,9.660561384399742,9.22608786580359,84.71270824854093,-0.8881246853795378,0.09701808890376958,-0.4492460724869582,0.9450663,-0.13823764,0.29620954
166,156,54,0.8618270462387535,97,0.9010126387685887,0.9553731930623338,18.585717626345595,1.6317939563054824,71.75035589632763,-0.9995517192814047,0.02920373797504301,0.006595617474737183,-0.9567087,-0.2908897,0.009567058
170,154,58,0.6925506702720398,95,0.9393278237036399,0.9661498810950996,7.642807754838284,6.315689094824119,85.29527183941306,-0.9891123248654459,0.0069626373190856405,0.14699772270629088,-0.9977086,-0.059676625,0.03187849
172,179,62,0.7969155032762513,95,0.46654556006444736,0.5045042717699236,80.3945937503307,46.37665158210829,14.667751405943681,-0.986647157310593,0.004418442068353623,0.16281235929933208,0.1778774,-0.98082083,0.07968772
185,185,41,0.833095457678935,67,0.6828079454392808,0.6415822500854168,67.26268946357527,67.01877914803252,86.2675344305741,-0.8804735087968975,0.09903386396032904,-0.4636363813334398,-0.086404905,-0.0069965376,0.99623555
179,157,61,0.7573527782955967,64,0.9205086433511717,0.9175232844448217,17.15517474427843,4.155484912957287,70.62570172971391,-0.8423676914602375,0.10792996299246872,-0.5279846545804098,0.8228639,-0.38463247,0.41827372
156,186,53,0.6626183739398214,94,0.889892368336304,0.8705910337821605,9.694386584136847,3.013385030033174,85.2113375025097,-0.2194923031601568,-0.14404418219146145,0.9649219670161121,-0.2661771,0.0183727,0.96374905
166,163,63,0.741734463425598,94,0.9799826834299601,0.9807504269662357,8.011861257298827,0.6323222909095885,81.0312296423596,-0.9620278621264081,-0.013473667534196487,0.27261851143249705,-0.9567901,-0.15099625,0.24850124
184,187,48,0.7902908983288331,94,0.706710168561278,0.7719357152482809,30.10911676597285,19.087256693265175,70.39917965433249,-0.5665946506228159,0.14383845341846813,-0.8113451800582736,0.26245055,0.26049083,0.9291201
173,150,51,0.8924374784176952,96,0.9390382107394296,0.9316588893859975,6.786819182177448,4.755942840815518,84.34395149121494,-0.9928463592705533,0.047160288994781155,-0.10969053753691048,0.9919093,-0.12524651,0.020717345
175,152,51,0.8306845275930463,88,0.9607941348862368,0.9668266659292067,9.243961295257181,4.778165810278516,81.5641697000257,-0.998236151499892,0.03739466906185614,-0.046111002639705974,-0.9846188,0.16830496,0.04689706
162,158,56,0.6924573674965508,96,0.6699040496595988,0.6662382186866843,54.428092363596605,30.533072306946185,42.21918578180893,-0.9935801289326243,0.012494583701618699,0.11243848437413774,0.63145643,0.70253724,0.3281832
183,152,52,0.91521882768243,67,0.4705065982147477,0.3268554227428019,34.43752627902181,19.72091674319085,62.09461099489613,-0.968816940038941,-0.00936150631854138,0.24760068435493254,0.8678678,-0.49464536,0.046167623
175,179,69,0.6844627729861825,95,0.8745214895871924,0.9399450511452039,14.0329074153529,12.675608460637887,82.51046201438014,-0.9700292304708769,0.06586542020619471,-0.23389108245749746,0.88410085,-0.18495992,0.42913345
189,182,37,0.6292465220187465,94,0.858884717638482,0.7929084041674692,68.26947374933188,68.25860782775314,89.29557357953932,-0.9971021485447662,0.04024131841107978,-0.06455959773689161,0.30717432,-0.066313446,0.94934005
164,196,49,0.7042052391395892,94,0.9450110832464231,0.9376342937931879,25.334772851160693,9.170703070718316,64.50121277782895,-0.9452654900458332,0.07806755962312123,-0.3168258345888184,0.87891054,-0.46254113,0.116498575
184,183,31,0.6745548389555137,95,0.9223863305817945,0.9046009848485678,39.43197347427031,4.631903307900208,50.32245948606936,-0.9986332457808405,0.036106942191504746,-0.03778794975654337,-0.75284374,0.65331405,0.08004434
172,159,57,0.6363061304538322,56,0.9211030113341825,0.9042011648759269,8.681801828394462,7.917888650594052,85.48064036812023,-0.9891116948892625,0.051449485401530465,-0.1378804028323398,-0.9946068,0.103636295,0.004114904
158,167,68,0.9556179287320045,94,0.9607954134143961,0.9651178442712012,15.515119856549639,14.24616682093096,81.89135700782855,-0.8924116450152673,-0.04314741041743397,0.44915449103333505,-0.9694394,-0.13264,0.20638295
178,154,52,0.8317641733870963,77,0.8006990589773344,0.8690869048277742,20.843791950417614,10.024056697579262,70.58440206281645,-0.9859108479813122,0.05451619273942179,-0.15813849803880253,-0.93446773,0.35398915,0.03823247
175,160,63,0.6504112058108437,96,0.9594526488975288,0.9797601839994627,17.41019898139204,13.589731350822543,76.2772966923597,-0.8516391743860344,0.10591949631159514,-0.5133145010148962,0.918923,-0.28160954,0.27618214
183,170,70,0.6805823720816684,94,0.9654128086072726,0.9621780274512721,8.409525343766814,2.574732231289666,81.14452597133312,-0.9917700570962169,0.04850176842878394,-0.11848937634508633,0.9809909,-0.18366468,0.06264345
176,149,52,0.6811469198683242,92,0.887570525456897,0.9057174774572874,22.05702632778429,9.308830607488309,68.71178318372812,-0.9795310495856663,0.05965038923785293,-0.19225179833066713,0.9218422,-0.38754728,0.0037457612
